"country","year","remittance","gdp_capita","keep","population"
"Albania",2005,6510000,2710,1,2960000
"Albania",2010,24200000,4090,1,2960000
"Algeria",2005,2.7e+07,3100,1,34650000
"Algeria",2010,2.8e+07,4470,1,34650000
"Angola",2005,2.15e+08,1580,1,19550000
"Angola",2010,7.14e+08,3890,1,19550000
"Argentina",2005,3.14e+08,5640,1,40150000
"Argentina",2010,1.04e+09,11200,1,40150000
"Armenia",2005,2.07e+08,1630,1,2985000
"Armenia",2010,2.27e+08,3120,1,2985000
"Australia",2005,1.53e+09,34000,1,21200000
"Australia",2010,4.66e+09,51800,1,21200000
"Austria",2005,2.12e+09,38200,1,8295000
"Austria",2010,2.99e+09,46700,1,8295000
"Azerbaijan",2005,2.39e+08,1580,1,8720000
"Azerbaijan",2010,9.54e+08,5840,1,8720000
"Bahrain",2005,1.22e+09,18400,1,1063500
"Bahrain",2010,1.64e+09,20400,1,1063500
"Bangladesh",2005,4960000,486,1,147500000
"Bangladesh",2010,9420000,760,1,147500000
"Belarus",2005,52200000,3130,1,9575000
"Belarus",2010,1.16e+08,5820,1,9575000
"Belgium",2005,2.43e+09,37000,1,10700000
"Belgium",2010,4.18e+09,44400,1,10700000
"Benin",2005,33500000,587,1,8845000
"Benin",2010,63400000,733,1,8845000
"Bolivia",2005,66700000,1050,1,9525000
"Bolivia",2010,1.02e+08,1980,1,9525000
"Botswana",2005,1.07e+08,5330,1,1955000
"Botswana",2010,85500000,6240,1,1955000
"Brazil",2005,3.74e+08,4730,1,193500000
"Brazil",2010,1.02e+09,11100,1,193500000
"Bulgaria",2005,35500000,3850,1,7570000
"Bulgaria",2010,20300000,6750,1,7570000
"Burkina Faso",2005,83800000,407,1,14500000
"Burkina Faso",2010,1.12e+08,574,1,14500000
"Burundi",2005,194000,141,1,8695000
"Burundi",2010,4960000,214,1,8695000
"Cambodia",2005,1.28e+08,472,1,13850000
"Cambodia",2010,1.71e+08,783,1,13850000
"Cameroon",2005,56200000,915,1,19350000
"Cameroon",2010,54200000,1150,1,19350000
"Canada",2005,3.26e+09,36200,1,33150000
"Canada",2010,5.29e+09,47400,1,33150000
"Chile",2005,16200000,7730,1,16550000
"Chile",2010,1600000,12800,1,16550000
"China PR",2005,1.82e+09,1740,1,1.32e+09
"China PR",2010,1.46e+09,4510,1,1.32e+09
"Colombia",2005,56200000,3390,1,44600000
"Colombia",2010,1.12e+08,6250,1,44600000
"Costa Rica",2005,2.09e+08,4700,1,4400000
"Costa Rica",2010,2.59e+08,7990,1,4400000
"Cote d'Ivoire",2005,5.97e+08,942,1,19100000
"Cote d'Ivoire",2010,7.26e+08,1240,1,19100000
"Croatia",2005,1.38e+08,10200,1,4430000
"Croatia",2010,2.36e+08,13500,1,4430000
"Cyprus",2005,2.41e+08,24700,1,1065000
"Cyprus",2010,9.52e+08,30400,1,1065000
"Czech Republic",2005,1.16e+09,13300,1,10350000
"Czech Republic",2010,1.5e+09,19800,1,10350000
"Denmark",2005,1.49e+09,48800,1,5485000
"Denmark",2010,2.83e+09,57600,1,5485000
"Djibouti",2005,4670000,910,1,804500
"Djibouti",2010,11600000,1360,1,804500
"Dominican Republic",2005,24700000,3680,1,9570000
"Dominican Republic",2010,5.19e+08,5440,1,9570000
"Ecuador",2005,5.4e+07,3020,1,14300000
"Ecuador",2010,1.36e+08,4660,1,14300000
"Egypt",2005,57200000,1200,1,78450000
"Egypt",2010,3.05e+08,2670,1,78450000
"El Salvador",2005,2.4e+07,2870,1,5995000
"El Salvador",2010,22100000,3550,1,5995000
"Estonia",2005,50400000,10300,1,1340000
"Estonia",2010,1.23e+08,14600,1,1340000
"Ethiopia",2005,16400000,162,1,82100000
"Ethiopia",2010,66300000,342,1,82100000
"Finland",2005,2.66e+08,39000,1,5305000
"Finland",2010,7.21e+08,46200,1,5305000
"France",2005,9.47e+09,34900,1,64100000
"France",2010,1.2e+10,40700,1,64100000
"Georgia",2005,27100000,1530,1,4060000
"Georgia",2010,55100000,2960,1,4060000
"Germany",2005,1.27e+10,34700,1,82150000
"Germany",2010,1.47e+10,41800,1,82150000
"Greece",2005,9.02e+08,22600,1,11050000
"Greece",2010,1.93e+09,26900,1,11050000
"Guatemala",2005,42100000,2060,1,13950000
"Guatemala",2010,20800000,2810,1,13950000
"Guyana",2005,54800000,1110,1,747500
"Guyana",2010,1.28e+08,3000,1,747500
"Haiti",2005,59700000,465,1,9630000
"Haiti",2010,1.67e+08,662,1,9630000
"Honduras",2005,484000,1410,1,7190000
"Honduras",2010,27300000,2110,1,7190000
"Hungary",2005,9.12e+08,11200,1,10050000
"Hungary",2010,1.13e+09,13000,1,10050000
"India",2005,1.35e+09,729,1,1.185e+09
"India",2010,3.83e+09,1390,1,1.185e+09
"Indonesia",2005,1.18e+09,1260,1,2.34e+08
"Indonesia",2010,2.84e+09,3130,1,2.34e+08
"Iraq",2005,82500000,1850,1,28950000
"Iraq",2010,48400000,4490,1,28950000
"Ireland",2005,1.44e+09,50800,1,4360000
"Ireland",2010,2.27e+09,48300,1,4360000
"Israel",2005,2.21e+09,20600,1,7275000
"Israel",2010,3.73e+09,30700,1,7275000
"Italy",2005,7.55e+09,32000,1,58650000
"Italy",2010,1.29e+10,35900,1,58650000
"Jamaica",2005,3.69e+08,4240,1,2665000
"Jamaica",2010,2.79e+08,4900,1,2665000
"Japan",2005,1.15e+09,35800,1,1.28e+08
"Japan",2010,4.37e+09,42900,1,1.28e+08
"Jordan",2005,3.49e+08,2360,1,5925000
"Jordan",2010,6.05e+08,4050,1,5925000
"Kazakhstan",2005,1.89e+09,3770,1,15700000
"Kazakhstan",2010,3.01e+09,9070,1,15700000
"Kenya",2005,56400000,530,1,37800000
"Kenya",2010,19100000,992,1,37800000
"Korea, South",2005,6.67e+09,18700,1,48750000
"Korea, South",2010,9.12e+09,22200,1,48750000
"Kuwait",2005,2.65e+09,35700,1,2660000
"Kuwait",2010,1.19e+10,37700,1,2660000
"Latvia",2005,4.91e+08,7550,1,2170000
"Latvia",2010,4.43e+08,11300,1,2170000
"Lebanon",2005,4.01e+09,5340,1,4165000
"Lebanon",2010,4.39e+09,8760,1,4165000
"Liberia",2005,194000,168,1,3615000
"Liberia",2010,1140000,327,1,3615000
"Libya",2005,9.14e+08,8160,1,6035000
"Libya",2010,1.61e+09,11900,1,6035000
"Lithuania",2005,2.59e+08,7860,1,3210000
"Lithuania",2010,5.52e+08,12000,1,3210000
"Luxembourg",2005,6.7e+09,79500,1,486000
"Luxembourg",2010,1.06e+10,103000,1,486000
"Madagascar",2005,18500000,276,1,19700000
"Madagascar",2010,34500000,414,1,19700000
"Malaysia",2005,5.68e+09,5560,1,26950000
"Malaysia",2010,1.75e+09,9070,1,26950000
"Mali",2005,69300000,485,1,14050000
"Mali",2010,1.76e+08,704,1,14050000
"Mauritius",2005,9250000,5120,1,1240000
"Mauritius",2010,8460000,7770,1,1240000
"Moldova",2005,46300000,831,1,3580000
"Moldova",2010,78600000,1630,1,3580000
"Mongolia",2005,40400000,999,1,2620000
"Mongolia",2010,1.69e+08,2650,1,2620000
"Morocco",2005,35100000,2020,1,31250000
"Morocco",2010,6.2e+07,2860,1,31250000
"Mozambique",2005,24500000,366,1,22700000
"Mozambique",2010,53700000,418,1,22700000
"Namibia",2005,18300000,3580,1,2110000
"Namibia",2010,27900000,5140,1,2110000
"Netherlands",2005,4.55e+09,41600,1,16450000
"Netherlands",2010,9.4e+09,50300,1,16450000
"New Zealand",2005,6.47e+08,27800,1,4240000
"New Zealand",2010,5.34e+08,33700,1,4240000
"Niger",2005,29300000,253,1,14900000
"Niger",2010,72200000,351,1,14900000
"Nigeria",2005,6.8e+07,804,1,149500000
"Nigeria",2010,47500000,2310,1,149500000
"Norway",2005,2.17e+09,66800,1,4755000
"Norway",2010,4.12e+09,87600,1,4755000
"Oman",2005,2.26e+09,12400,1,2725000
"Oman",2010,5.7e+09,19900,1,2725000
"Pakistan",2005,2e+06,714,1,161500000
"Pakistan",2010,9e+06,1040,1,161500000
"Panama",2005,87600000,4930,1,3470000
"Panama",2010,4.86e+08,7990,1,3470000
"Paraguay",2005,0,1510,1,6005000
"Paraguay",2010,0,3230,1,6005000
"Peru",2005,1.29e+08,2710,1,28500000
"Peru",2010,1.22e+08,5060,1,28500000
"Philippines",2005,1.95e+08,1200,1,89550000
"Philippines",2010,1.09e+08,2150,1,89550000
"Poland",2005,6.21e+08,7980,1,38100000
"Poland",2010,1.31e+09,12600,1,38100000
"Portugal",2005,4.36e+08,18800,1,10550000
"Portugal",2010,5.06e+08,22500,1,10550000
"Romania",2005,22300000,4680,1,20750000
"Romania",2010,88200000,8300,1,20750000
"Russian Federation",2005,6.83e+09,5320,1,143500000
"Russian Federation",2010,2.15e+10,10700,1,143500000
"Rwanda",2005,34500000,287,1,9655000
"Rwanda",2010,76100000,554,1,9655000
"Saudi Arabia",2005,1.43e+10,13300,1,26400000
"Saudi Arabia",2010,2.71e+10,18800,1,26400000
"Senegal",2005,97700000,773,1,12150000
"Senegal",2010,2.16e+08,998,1,12150000
"Sierra Leone",2005,2370000,321,1,5425000
"Sierra Leone",2010,10600000,453,1,5425000
"Slovak Republic",2005,5e+07,11600,1,5380000
"Slovak Republic",2010,7e+07,16600,1,5380000
"Slovenia",2005,90500000,18200,1,2025000
"Slovenia",2010,1.96e+08,23400,1,2025000
"South Africa",2005,1.04e+09,5450,1,49050000
"South Africa",2010,1.35e+09,7390,1,49050000
"Spain",2005,7.33e+08,26500,1,45150000
"Spain",2010,4.34e+08,30700,1,45150000
"Sudan",2005,1740000,662,1,34050000
"Sudan",2010,789000,1420,1,34050000
"Suriname",2005,9500000,3650,1,505000
"Suriname",2010,1200000,8430,1,505000
"Swaziland",2005,7980000,2340,1,1145000
"Swaziland",2010,11700000,2960,1,1145000
"Sweden",2005,5.37e+08,43100,1,9205000
"Sweden",2010,8.2e+08,52100,1,9205000
"Switzerland",2005,9.99e+09,54800,1,7630000
"Switzerland",2010,1.69e+10,74300,1,7630000
"Tajikistan",2005,1.45e+08,340,1,7195000
"Tajikistan",2010,2.31e+08,744,1,7195000
"Tanzania",2005,33200000,446,1,42350000
"Tanzania",2010,1.23e+08,709,1,42350000
"Togo",2005,35400000,379,1,5985000
"Togo",2010,62800000,496,1,5985000
"Tunisia",2005,15600000,3220,1,10250000
"Tunisia",2010,13300000,4180,1,10250000
"Turkey",2005,1.08e+08,7120,1,70100000
"Turkey",2010,1.9e+08,10100,1,70100000
"Uganda",2005,1.97e+08,321,1,30550000
"Uganda",2010,3.32e+08,609,1,30550000
"Ukraine",2005,1.86e+08,1830,1,46500000
"Ukraine",2010,7.03e+08,2970,1,46500000
"United Kingdom",2005,9.64e+09,40000,1,61600000
"United Kingdom",2010,9.57e+09,38300,1,61600000
"United States",2005,4.73e+10,44300,1,302500000
"United States",2010,5.08e+10,48400,1,302500000
"Uruguay",2005,2180000,5220,1,3350000
"Uruguay",2010,6650000,11900,1,3350000
"Venezuela",2005,2.11e+08,5440,1,27900000
"Venezuela",2010,8.05e+08,13600,1,27900000
"Yemen",2005,1.09e+08,817,1,22050000
"Yemen",2010,3.38e+08,1310,1,22050000
"Zambia",2005,93700000,692,1,12950000
"Zambia",2010,68100000,1460,1,12950000
